Territorio,Año,Área geográfica,Sexo,Edad,Población
Total Nacional,2018,Cabecera,Total,26,617589
Total Nacional,2018,Cabecera,Total,27,603799
Total Nacional,2018,Cabecera,Total,28,589653
Total Nacional,2018,Cabecera,Total,29,575076
Total Nacional,2018,Cabecera,Total,30,561352
Total Nacional,2018,Cabecera,Total,31,551250
Total Nacional,2018,Cabecera,Total,32,543269
Total Nacional,2018,Cabecera,Total,33,536855
Total Nacional,2018,Cabecera,Total,34,534254
Total Nacional,2018,Cabecera,Total,35,531349
Total Nacional,2018,Cabecera,Total,36,525868
Total Nacional,2018,Cabecera,Total,37,519113
Total Nacional,2018,Cabecera,Total,38,508858
Total Nacional,2018,Cabecera,Total,39,493730
Total Nacional,2018,Cabecera,Total,40,477987
Total Nacional,2018,Cabecera,Total,41,462524
Total Nacional,2018,Cabecera,Total,42,447343
Total Nacional,2018,Cabecera,Total,43,436856
Total Nacional,2018,Cabecera,Total,44,431597
Total Nacional,2018,Cabecera,Total,45,428517
Total Nacional,2018,Cabecera,Total,46,427074
Total Nacional,2018,Cabecera,Total,47,428023
Total Nacional,2018,Cabecera,Total,48,429181
Total Nacional,2018,Cabecera,Total,49,427805
Total Nacional,2018,Cabecera,Total,50,425836
Total Nacional,2018,Cabecera,Total,51,423523
Total Nacional,2018,Cabecera,Total,52,419919
Total Nacional,2018,Cabecera,Total,53,414747
Total Nacional,2018,Cabecera,Total,54,407975
Total Nacional,2018,Cabecera,Total,55,398245
Total Nacional,2018,Cabecera,Total,56,385251
Total Nacional,2018,Cabecera,Total,57,370794
Total Nacional,2018,Cabecera,Total,58,355091
Total Nacional,2018,Cabecera,Total,59,339970
Total Nacional,2018,Cabecera,Total,60,326186
Total Nacional,2018,Cabecera,Total,61,312713
Total Nacional,2018,Cabecera,Total,62,299051
Total Nacional,2018,Cabecera,Total,63,285553
Total Nacional,2018,Cabecera,Total,64,271855
Total Nacional,2018,Cabecera,Total,65,257787
Total Nacional,2018,Cabecera,Total,66,244224
Total Nacional,2018,Cabecera,Total,67,231526
Total Nacional,2018,Cabecera,Total,68,218910
Total Nacional,2018,Cabecera,Total,69,206283
Total Nacional,2018,Cabecera,Total,70,193780
Total Nacional,2018,Cabecera,Total,71,180750
Total Nacional,2018,Cabecera,Total,72,168003
Total Nacional,2018,Cabecera,Total,73,156128
Total Nacional,2018,Cabecera,Total,74,145568
Total Nacional,2018,Cabecera,Total,75,136728
Total Nacional,2018,Cabecera,Total,76,129370
Total Nacional,2018,Cabecera,Total,77,122399
Total Nacional,2018,Cabecera,Total,78,114987
Total Nacional,2018,Cabecera,Total,79,107166
Total Nacional,2018,Cabecera,Total,80,98987
Total Nacional,2018,Cabecera,Total,81,90477
Total Nacional,2018,Cabecera,Total,82,82183
Total Nacional,2018,Cabecera,Total,83,74445
Total Nacional,2018,Cabecera,Total,84,66883
Total Nacional,2018,Cabecera,Total,85,59847
Total Nacional,2018,Cabecera,Total,86,53164
Total Nacional,2018,Cabecera,Total,87,46826
Total Nacional,2018,Cabecera,Total,88,40765
Total Nacional,2018,Cabecera,Total,89,35113
Total Nacional,2018,Cabecera,Total,90,29618
Total Nacional,2018,Cabecera,Total,91,24147
Total Nacional,2018,Cabecera,Total,92,19263
Total Nacional,2018,Cabecera,Total,93,15164
Total Nacional,2018,Cabecera,Total,94,11854
Total Nacional,2018,Cabecera,Total,95,9267
Total Nacional,2018,Cabecera,Total,96,7131
Total Nacional,2018,Cabecera,Total,97,5410
Total Nacional,2018,Cabecera,Total,98,3899
Total Nacional,2018,Cabecera,Total,99,2719
Total Nacional,2018,Cabecera,Total,100+,9450
Total Nacional,2018,Centros Poblados y Rural Disperso,Total,Total,11843973
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,Total,6163808
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,Total,5680165
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,0,111886
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,1,112733
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,2,114233
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,3,116189
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,4,118018
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,5,120287
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,6,121987
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,7,123959
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,8,125744
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,9,127610
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,10,129514
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,11,131555
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,12,131803
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,13,131507
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,14,130343
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,15,127905
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,16,125439
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,17,122324
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,18,117186
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,19,111517
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,20,105883
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,21,100885
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,22,97528
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,23,94939
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,24,92159
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,25,88872
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,26,85784
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,27,83169
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,28,80929
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,29,79061
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,30,77130
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,31,76128
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,32,75207
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,33,74839
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,34,74899
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,35,74918
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,36,74683
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,37,74549
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,38,74090
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,39,73199
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,40,71546
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,41,70301
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,42,68494
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,43,67647
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,44,67276
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,45,67032
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,46,66790
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,47,66624
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,48,66324
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,49,65855
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,50,64813
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,51,64033
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,52,62688
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,53,61600
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,54,60311
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,55,58850
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,56,57096
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,57,55197
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,58,53029
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,59,51197
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,60,49307
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,61,47694
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,62,45909
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,63,44413
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,64,42889
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,65,41398
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,66,39842
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,67,38199
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,68,36366
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,69,34705
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,70,32944
