codigo_dane,nombre_entidad,anio,poblacion_urbana,poblacion_rural,poblacion_total,pib,valor_agregado_bruto,deuda_publica,ingresos totales,ingresos corrientes,ingresos tributarios,ingresos no tributarios,gastos totales,gastos corrientes,gastos de funcionamiento,desahorro/ahorro corriente,ingresos de capital,regalías,gastos de capital,déficit o superávit total,icm,pcc,gpi,eis,cti,seg,sos,longitud,latitud
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2023,46466.0,16541.0,63007.0,2285649865430.9263,2094337389675.8948,,471557000000.0,222984000000.0,60685000000.0,102286000000.0,513813000000.0,241178000000.0,241178000000.0,-18194000000.0,248573000000.0,0.0,272635000000.0,-42256000000.0,42.76504002858123,41.78605651855469,14.86016750335693,62.20677947998047,54.72209930419922,15.99592304229736,67.01921081542969,-81717623824.0,12543115116
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2024,46853.0,16397.0,63250.0,2454453869357.17,2254461926490.131,,555113000000.0,269913000000.0,64178000000.0,140909000000.0,537305000000.0,241158000000.0,241158000000.0,28755000000.0,285200000000.0,1552000000.0,296147000000.0,17808000000.0,42.93446826636845,41.78081893920898,5.754544734954834,66.88063049316406,56.48638153076172,20.99091148376465,65.71353149414062,-81717623824.0,12543115116
91,AMAZONAS,2018,37117.0,39456.0,76573.0,759181610151.2736,722904403882.3553,,187924000000.0,36756000000.0,13324000000.0,3828000000.0,168896000000.0,24852000000.0,24852000000.0,11903000000.0,151168000000.0,41463000000.0,144044000000.0,19028000000.0,40.94980052554429,23.77504920959473,34.78409576416016,32.28206634521484,34.11886596679688,55.72014236450195,65.01858520507812,-71502128578.0,-154622768
91,AMAZONAS,2019,37915.0,40150.0,78065.0,808177815179.5215,768628295708.6984,19594000000.0,176339000000.0,41231000000.0,16929000000.0,1068000000.0,200196000000.0,25895000000.0,25553000000.0,15336000000.0,135108000000.0,18184000000.0,174301000000.0,-23857000000.0,40.48261511052493,23.64285850524902,26.52489852905273,34.61466979980469,32.91703414916992,55.60205078125,69.59417724609375,-71502128578.0,-154622768
91,AMAZONAS,2020,38781.0,40802.0,79583.0,776893244441.762,740373405377.9231,,174103000000.0,39577000000.0,12915000000.0,1318000000.0,186124000000.0,24956000000.0,24956000000.0,14621000000.0,134526000000.0,94000000.0,161168000000.0,-12021000000.0,38.66518184701559,23.54179763793945,30.40448188781738,36.40493392944336,30.57322311401367,48.74846649169922,62.31818389892578,-71502128578.0,-154622768
91,AMAZONAS,2021,39692.0,41173.0,80865.0,911442221130.0203,866344393376.4615,,232755000000.0,44758000000.0,16151000000.0,460000000.0,195669000000.0,34505000000.0,34505000000.0,10253000000.0,187997000000.0,27690000000.0,161165000000.0,37086000000.0,39.06132224582161,23.55112075805664,32.37846755981445,38.35286331176758,34.59677124023438,46.55602645874023,58.93267822265625,-71502128578.0,-154622768
91,AMAZONAS,2022,40517.0,41479.0,81996.0,1078559738955.1542,1020536887782.5784,,290163000000.0,50940000000.0,18644000000.0,4468000000.0,242245000000.0,30500000000.0,30500000000.0,20440000000.0,239223000000.0,53102000000.0,211745000000.0,47918000000.0,38.71822361867543,23.54937362670898,34.60430908203125,39.05409622192383,32.39886093139648,48.35653686523438,54.34616470336914,-71502128578.0,-154622768
91,AMAZONAS,2023,41313.0,41774.0,83087.0,1212823072224.872,1150957272290.8762,,245955000000.0,55775000000.0,16259000000.0,4667000000.0,290544000000.0,36369000000.0,35684000000.0,19406000000.0,190180000000.0,0.0,254175000000.0,-44589000000.0,39.9056959420729,23.56748199462891,29.76816177368164,40.12680816650391,34.34692001342773,53.48261260986328,58.14219284057617,-71502128578.0,-154622768
91,AMAZONAS,2024,42092.0,42017.0,84109.0,1330558801690.0432,1265760008555.4922,7500000000.0,443840000000.0,70686000000.0,21280000000.0,6135000000.0,335036000000.0,45608000000.0,44952000000.0,25078000000.0,373154000000.0,0.0,289428000000.0,108804000000.0,43.27223590412887,23.76283836364746,33.62660980224609,45.64048385620117,43.74192810058594,56.60020065307617,56.26135635375977,-71502128578.0,-154622768
94,GUAINÍA,2018,20322.0,27759.0,48081.0,363559081821.2723,350546611149.1039,,156393000000.0,31418000000.0,13282000000.0,404000000.0,187949000000.0,15343000000.0,15343000000.0,16075000000.0,124976000000.0,36118000000.0,172606000000.0,-31556000000.0,33.73584469340199,19.5261116027832,23.20665550231934,20.14116477966309,24.78037452697754,57.28659820556641,57.47416305541992,-68816612721.0,2727842865
