nombre_entidad;anio;Instituciones;Infraestructura;Adopción TIC;Sostenibilidad ambiental;Salud;Educación básica y media;Educación superior y capacitación;Entorno para los negocios;Mercado laboral;Sistema financiero;Tamaño del mercado;Sofisticación y diversificación;Innovación
AMAZONAS;2021;4.6230468295099;0.6790466452406752;0.8565708970212599;5.578474868581855;5.60708526995915;3.8802584631726775;2.2226968834892173;4.648278472601493;5.70609737589154;1.5250695176834042;0.7352447935134404;0.0;3.4871908210861524
ANTIOQUIA;2021;6.165198147538007;5.468918402952126;5.025114191128999;5.142281708129584;7.581029126981819;6.584584370521829;5.726279146690484;7.231153781513322;6.47494343936258;5.162807759132049;7.4252039692024985;8.603411331450157;5.185227805342464
ARAUCA;2021;4.1843084140542235;4.357065947009053;1.6566968893441048;3.6725406598932797;6.5198180912395545;6.439947542012238;3.107726453447965;4.001729344731144;3.038878010430915;1.3122554173891778;4.254313724853108;2.506821470860885;1.3714377183357764
ATLÁNTICO;2021;6.301336124257166;5.06621707385529;4.774115244131658;3.144505864299564;7.512606246128103;6.825269594103968;5.200538351510734;6.539812477423297;5.047033745770381;4.346874441060965;6.5660125836881456;9.403761429624286;3.478259464761263
BOGOTÁ, D.C.;2021;7.5969267661950255;6.977353167235467;7.552136028711165;5.408815521668951;7.918000922696878;7.832578466718017;6.512422804787036;9.13192807513087;6.6814902531329174;6.651894808933212;8.186191697271388;9.305107730722277;6.194349276444083
BOLÍVAR;2021;5.3343191268904855;5.825061308350106;2.938084897025535;5.176762009840723;6.407558840053133;5.397754767373762;3.666370134024999;6.182961183112049;5.0107093125764095;2.0073322796829807;6.609159252610461;9.390276329426085;2.2436915102004398
BOYACÁ;2021;5.100309622290603;9.506822539413214;4.262433650384785;6.371260464625292;6.904894001099845;8.286754862182041;4.894297492375957;4.57488016303591;5.3410606526406355;2.323276379400982;5.438686362047314;5.054056035931264;2.828597115143656
CALDAS;2021;5.9499911470282445;4.280373287900764;5.176136726156791;4.961490811188558;7.535241968008206;6.542455529119665;5.65130185222507;5.965109066377833;6.588034108785552;3.1177922809353964;5.628738555774683;7.696643123701971;4.059883693845831
CAQUETÁ;2021;5.099495987003993;4.075680357238554;2.4712497371973856;5.032624549175955;6.254856084481797;5.522168348675121;2.0130203694851465;4.695331854893524;4.631866534791672;2.3846500236710315;3.593207980453035;5.453597730323186;1.7097640173163817
CASANARE;2021;4.999311584456204;4.326493476729099;2.8963394337107213;4.904303011678354;6.731497618016431;6.967430742535297;2.6510354701055205;5.358426905112127;6.338400434205273;1.9779889286483536;5.629544163437272;2.2078598316960445;0.7031257366605447
CAUCA;2021;4.406792609943724;4.138995618774939;2.9124703554878035;6.171693739071414;6.245178430379886;5.291680000626236;3.2982946216918494;3.5957351671310707;3.9854972998985105;1.4333832236030637;5.272569308070549;8.81340830902775;2.0903747147527008
CESAR;2021;4.892504289392818;4.843816379192134;2.9158569569012527;4.776985163706186;6.824943160316082;5.550090415685687;3.236493659895221;5.022655664043246;4.685277867006193;1.5240238611087786;6.247928070868467;4.968112155154208;1.2252659827840338
CHOCÓ;2021;4.379203685907973;4.197288427132143;1.4914367027351918;7.725975166975726;3.9984209033363;3.3623402267404314;0.9865030313818058;3.927316488402168;4.906877640196343;0.9087194057164005;4.0605946749584065;3.5868193079891815;2.292995967423192
CÓRDOBA;2021;4.533580472146868;4.911506452371506;2.2501331063772607;5.483721124690835;5.978375342630361;5.883769280760167;2.9794438091255033;4.063913363069812;4.366334744793855;1.510235283983525;5.346907049425051;6.399776545218106;1.7577200724350461
