Codigo_DIVIPOLA|Departamento|Sector|Tipo_registro|Año|Estado_dato|Valor_miles_millones_COP|Unidad|Fuente
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2025|Preliminar|24062.6249173658|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2005|Definitivo|399.251125202917|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2006|Definitivo|404.07567440181|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2007|Definitivo|461.5664697376|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2008|Definitivo|532.806593423018|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2009|Definitivo|557.435245399575|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2010|Definitivo|538.746397068358|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2011|Definitivo|580.981094493484|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2012|Definitivo|666.658133576957|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2013|Definitivo|638.483583131584|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2014|Definitivo|647.169476868229|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2015|Definitivo|748.313364408894|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2016|Definitivo|924.849265173621|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2017|Definitivo|918.606405850675|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
81|Arauca|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2018|Definitivo|990.049386643346|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
